id,title,condition,price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,permalink,thumbnail,category_id,domain_id,Marca,Color,Condición del ítem,Modelo,Formato de venta,Unidades por pack,Unidades por envase,Color principal,Código universal de producto,Largo del paquete,Peso del paquete,Peso neto,Conservación del producto,Línea
MLA1426151013,Guantes De Nitrilo Descartables Antideslizantes Color Negro Talle M X 100 Unidades,new,6289.0,ARS,500,,buy_it_now,gold_special,2044-05-07T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-de-nitrilo-descartables-antideslizantes-color-negro-talle-m-x-100-unidades/p/MLA28013873,http://http2.mlstatic.com/D_992495-MLA72741068273_112023-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Selectshop Signature,Negro,Nuevo,Guantes de Nitrilo,Unidad,1,100,,,,,,,
MLA1781901876,Guantes Descartables Antideslizantes Selectshop Signature Guantes De Nitrilo Color Negro Talle L X 100 Unidades,new,6289.0,ARS,5000,,buy_it_now,gold_special,2044-05-17T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-descartables-antideslizantes-selectshop-signature-guantes-de-nitrilo-color-negro-talle-l-x-100-unidades/p/MLA28013874,http://http2.mlstatic.com/D_930724-MLA72667923738_112023-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Selectshop Signature,Negro,Nuevo,Guantes de Nitrilo,Unidad,1,100,,,,,,,
MLA1409032303,Guantes Descartables Antideslizantes One Glove Color Negro De Nitrilo En Pack De 10 X 100 Unidades,new,59773.0,ARS,1,,buy_it_now,gold_special,2044-02-09T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-descartables-antideslizantes-one-glove-color-negro-de-nitrilo-en-pack-de-10-x-100-unidades/p/MLA27965567,http://http2.mlstatic.com/D_769013-MLU75344933599_032024-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,ONE GLOVE,Negro,Nuevo,Nitrilo negro,Pack,10,100,Negro,,,,,,
MLA1652591318,Caja Guantes Nitrilo Primera Calidad Con Anmat X 100 ,new,6998.0,ARS,5000,,buy_it_now,gold_special,2044-01-27T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1652591318-caja-guantes-nitrilo-primera-calidad-con-anmat-x-100-_JM,http://http2.mlstatic.com/D_971429-MLA54894520643_042023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,DEXAL - AS - TOP GLOVE-NP-PRINTEX-EUROMIX-ELIT,,Nuevo,Nitrilo,Pack,1,100,,,,,,,
MLA1787907006,Guantes Descartables Euromix Nitrilo Rosa X 100 Unidades Talle M,new,6980.0,ARS,1,,buy_it_now,gold_special,2044-05-22T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-descartables-euromix-nitrilo-rosa-x-100-unidades-talle-m/p/MLA37116841,http://http2.mlstatic.com/D_727040-MLU76606012575_052024-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Guantes,Rosa,Nuevo,Guantes de Nitrilo,Unidad,1,100,,,,,,,
MLA1408994411,Guantes Descartables Antideslizantes One Glove Color Negro Talle M De Nitrilo En Pack De 10 X 100 Unidades,new,57056.0,ARS,1,,buy_it_now,gold_special,2044-02-09T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-descartables-antideslizantes-one-glove-color-negro-talle-m-de-nitrilo-en-pack-de-10-x-100-unidades/p/MLA27965566,http://http2.mlstatic.com/D_878605-MLA72877205881_112023-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,ONE GLOVE,Negro,Nuevo,Nitrilo negro,Pack,10,100,,,,,,,
MLA1175036968,Guantes Descartables Antideslizantes Printex Color Negro Talle M De Nitrilo X 100 Unidades,new,8390.0,ARS,1,,buy_it_now,gold_special,2042-09-18T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-descartables-antideslizantes-printex-color-negro-talle-m-de-nitrilo-x-100-unidades/p/MLA14788291,http://http2.mlstatic.com/D_681834-MLA48771523270_012022-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Printex,Negro,Nuevo,,Unidad,1,100,,,,,,,
MLA1426159591,Guantes Descartables Antideslizantes One Glove Color Negro Talle M De Nitrilo X 100 Unidades,new,6289.0,ARS,500,,buy_it_now,gold_special,2044-05-07T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-descartables-antideslizantes-one-glove-color-negro-talle-m-de-nitrilo-x-100-unidades/p/MLA28112992,http://http2.mlstatic.com/D_765839-MLA73415025971_122023-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,ONE GLOVE,Negro,Nuevo,,Unidad,1,100,Negro,,,,,,
MLA1426138075,Guantes Descartables Antideslizantes Selectshop Signature Guantes De Nitrilo Color Negro Talle S X 100 Unidades,new,6349.8,ARS,500,,buy_it_now,gold_special,2044-05-07T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-descartables-antideslizantes-selectshop-signature-guantes-de-nitrilo-color-negro-talle-s-x-100-unidades/p/MLA28013872,http://http2.mlstatic.com/D_667755-MLA74084787605_012024-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Selectshop Signature,Negro,Nuevo,Guantes de Nitrilo,Unidad,1,100,,,,,,,
MLA1169056410,Guantes Descartables Antideslizantes Printex Color Negro Talle Xl De Nitrilo X 100 Unidades,new,8390.0,ARS,1,,buy_it_now,gold_special,2042-09-10T04:00:00.000Z,https://www.mercadolibre.com.ar/guantes-descartables-antideslizantes-printex-color-negro-talle-xl-de-nitrilo-x-100-unidades/p/MLA18618551,http://http2.mlstatic.com/D_716671-MLA48771523295_012022-I.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Printex,Negro,Nuevo,,Unidad,1,100,,,,,,,
